Shop By Manufacturers,Shop By Manufacturers
No Manufacturers…,No Manufacturers…
Featured Manufacturers,Featured Manufacturers
Shop By,Shop By
Manufacturers,Manufacturers
BRAND,BRAND
Previous,Previous
Next,Next
Page:,Page:
Contact Details,Contact Details
Contact Person Name,Contact Person Name
Phone,Phone
Fax,Fax
Email,Email
Address,Address
Name,Name
Website,Website
Make this Featured,Make this Featured
Yes,Yes
No,No
Store View,Store View
Status,Status
Enabled,Enabled
Disabled,Disabled
About Manufacturer,About Manufacturer
Logo,Logo
Manufacturer Information,Manufacturer Information
Manufacturer Products,Manufacturer Products
Save Manufacturer,Save Manufacturer
Delete Manufacturer,Delete Manufacturer
Save And Continue Edit,Save And Continue Edit
Edit Manufacturer,Edit Manufacturer
Add Manufacturer,Add Manufacturer
ID,ID
Manufacturers Manager,Manufacturers Manager
Add Manufacturer,Add Manufacturer
Home,Home
Go to Home Page,Go to Home Page
Manufacturers,Manufacturers
Go to Manufacturers Page,Go to Manufacturers Page
Manufacturer does not exist,Manufacturer does not exist
Manufacturer was successfully saved,Manufacturer was successfully saved
Unable to find Manufacturer to save,Unable to find Manufacturer to save
Manufacturer was successfully deleted,Manufacturer was successfully deleted
Please select Manufacturer(s),Please select Manufacturer(s)
Please select Manufacturer(s),Please select Manufacturer(s)
