"Storefront","Storefront"
"Description","Description"
"Rewards Instore","Rewards Instore"
"Instore","Instore"
"Manage Storefront Locations","Manage Storefront Locations"
"Add New Storefront Location","Add New Storefront Location"
"The storefront does not exist","The storefront does not exist"
"Storefront Information","Storefront Information"
"Edit Storefront","Edit Storefront"
"New Storefront","New Storefront"
"The storefront has been saved.","The storefront has been saved."
"API Code","Storefront Code"
"Delete Storefront","Delete Storefront"
"An error occurred while deleting. Please review the error log.","An error occurred while deleting. Please review the error log."
"Status","Status"
