sku,brand,size,price,special_price,cost,qty,name,material,care_instructions,description,rmscategory,gender,season,supplier,colour,type,has_options,status,visibility,product_type_id,category_ids,nonrefundable,discount,attribute_set,store,websites,page_layout,options_container,gift_message_available,promo_offer,image,small_image,thumbnail,configurable_attributes,media_gallery,weight,length,width,height,pod1_shutl_default_vehicle,nextdayshipping,eushipping,shutl,pod1_shutl,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,store_id,enable_googlecheckout,tax_class_id,worldwideshipping,freeshipping,samedayshipping,standardshipping,meta_title,meta_description,url_key,url_path,custom_design,product_status_changed,product_changed_websites,image_label,small_image_label,thumbnail_label,related_targetrule_position_limit,related_targetrule_position_behavior,upsell_targetrule_position_limit,upsell_targetrule_position_behavior,low_stock_date,notify_stock_qty,special_from_date,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to,short_description,meta_keyword,custom_layout_update
HDN7606010 TAN 6,Hudson,6,95,79,12.6,,Hudson Tan Leather Lace Up Smart Shoes,Leather,0,<ul><li>Hudson mens tan leather lace up shoes </li><li>Leather main </li><li>Lace up front with brown woven laces</li><li>Blind eyelets</li><li>A round toe</li><li>Quadruple top stitching design </li><li>Leather lining and insole</li><li>Leather sole</li><li>A low stacked block heel</li><li>RRP:&pound;95.00</li></ul>,Casual Shoes,Mens,,Banana Connection,Browns,simple,0,Enabled,Not Visible Individually,simple,"492,437",No,"Save 16 GBP, 17 % off RRP",Clothing 2D,admin,ilovebrands,No layout updates,Block after Info Column,Use config,Dispatched same day before 2.30pm from Central London,,,,,,,,,,,1,1,,No,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,,Taxable Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDN7606010 TAN 7,Hudson,7,95,79,12.6,,Hudson Tan Leather Lace Up Smart Shoes,Leather,0,<ul><li>Hudson mens tan leather lace up shoes </li><li>Leather main </li><li>Lace up front with brown woven laces</li><li>Blind eyelets</li><li>A round toe</li><li>Quadruple top stitching design </li><li>Leather lining and insole</li><li>Leather sole</li><li>A low stacked block heel</li><li>RRP:&pound;95.00</li></ul>,Casual Shoes,Mens,,Banana Connection,Browns,simple,0,Enabled,Not Visible Individually,simple,"492,437",No,"Save 16 GBP, 17 % off RRP",Clothing 2D,admin,ilovebrands,No layout updates,Block after Info Column,Use config,Dispatched same day before 2.30pm from Central London,,,,,,,,,,,1,1,,No,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,,Taxable Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDN7606010 TAN 8,Hudson,8,95,79,12.6,,Hudson Tan Leather Lace Up Smart Shoes,Leather,0,<ul><li>Hudson mens tan leather lace up shoes </li><li>Leather main </li><li>Lace up front with brown woven laces</li><li>Blind eyelets</li><li>A round toe</li><li>Quadruple top stitching design </li><li>Leather lining and insole</li><li>Leather sole</li><li>A low stacked block heel</li><li>RRP:&pound;95.00</li></ul>,Casual Shoes,Mens,,Banana Connection,Browns,simple,0,Enabled,Not Visible Individually,simple,"492,437",No,"Save 16 GBP, 17 % off RRP",Clothing 2D,admin,ilovebrands,No layout updates,Block after Info Column,Use config,Dispatched same day before 2.30pm from Central London,,,,,,,,,,,1,1,,No,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,,Taxable Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDN7606010 TAN,Hudson,,95,79,12.6,,Hudson Tan Leather Lace Up Smart Shoes,Leather,0,<ul><li>Hudson mens tan leather lace up shoes </li><li>Leather main </li><li>Lace up front with brown woven laces</li><li>Blind eyelets</li><li>A round toe</li><li>Quadruple top stitching design </li><li>Leather lining and insole</li><li>Leather sole</li><li>A low stacked block heel</li><li>RRP:&pound;95.00</li></ul>,Casual Shoes,Mens,,Banana Connection,Browns,configurable,1,Enabled,"Catalog, Search",configurable,"492,437",No,"Save 16 GBP, 17 % off RRP",Clothing 2D,admin,ilovebrands,No layout updates,Block after Info Column,Use config,Dispatched same day before 2.30pm from Central London,http://ilovebrands-ebay.s3.amazonaws.com/HDN7606010_TAN1.jpg,http://ilovebrands-ebay.s3.amazonaws.com/HDN7606010_TAN1.jpg,http://ilovebrands-ebay.s3.amazonaws.com/HDN7606010_TAN1.jpg,size,http://ilovebrands-ebay.s3.amazonaws.com/HDN7606010_TAN1.jpg;http://ilovebrands-ebay.s3.amazonaws.com/HDN7606010_TAN2.jpg;http://ilovebrands-ebay.s3.amazonaws.com/HDN7606010_TAN3.jpg;http://ilovebrands-ebay.s3.amazonaws.com/HDN7606010_TAN4.jpg;;;;;;,,,,,,1,1,,No,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,,Taxable Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDN7606010 BLK 7,Hudson,7,95,79,12.6,,Hudson Black Leather Lace Up Smart Shoes,Leather,0,<ul><li>Hudson mens black leather lace up shoes </li><li>Leather main </li><li>Lace up front with black woven laces</li><li>Blind eyelets</li><li>A round toe</li><li>Quadruple top stitching design </li><li>Leather lining and insole</li><li>Leather sole</li><li>A low stacked block heel</li><li>RRP:&pound;95.00</li></ul>,Casual Shoes,Mens,,Banana Connection,Blacks,simple,0,Enabled,Not Visible Individually,simple,"492,437",No,"Save 16 GBP, 17 % off RRP",Clothing 2D,admin,ilovebrands,No layout updates,Block after Info Column,Use config,Dispatched same day before 2.30pm from Central London,,,,,,,,,,,1,1,,No,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,,Taxable Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDN7606010 BLK 9,Hudson,9,95,79,12.6,,Hudson Black Leather Lace Up Smart Shoes,Leather,0,<ul><li>Hudson mens black leather lace up shoes </li><li>Leather main </li><li>Lace up front with black woven laces</li><li>Blind eyelets</li><li>A round toe</li><li>Quadruple top stitching design </li><li>Leather lining and insole</li><li>Leather sole</li><li>A low stacked block heel</li><li>RRP:&pound;95.00</li></ul>,Casual Shoes,Mens,,Banana Connection,Blacks,simple,0,Enabled,Not Visible Individually,simple,"492,437",No,"Save 16 GBP, 17 % off RRP",Clothing 2D,admin,ilovebrands,No layout updates,Block after Info Column,Use config,Dispatched same day before 2.30pm from Central London,,,,,,,,,,,1,1,,No,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,,Taxable Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDN7606010 BLK 10,Hudson,10,95,79,12.6,,Hudson Black Leather Lace Up Smart Shoes,Leather,0,<ul><li>Hudson mens black leather lace up shoes </li><li>Leather main </li><li>Lace up front with black woven laces</li><li>Blind eyelets</li><li>A round toe</li><li>Quadruple top stitching design </li><li>Leather lining and insole</li><li>Leather sole</li><li>A low stacked block heel</li><li>RRP:&pound;95.00</li></ul>,Casual Shoes,Mens,,Banana Connection,Blacks,simple,0,Enabled,Not Visible Individually,simple,"492,437",No,"Save 16 GBP, 17 % off RRP",Clothing 2D,admin,ilovebrands,No layout updates,Block after Info Column,Use config,Dispatched same day before 2.30pm from Central London,,,,,,,,,,,1,1,,No,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,,Taxable Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDN7606010 BLK,Hudson,,95,79,12.6,,Hudson Black Leather Lace Up Smart Shoes,Leather,0,<ul><li>Hudson mens black leather lace up shoes </li><li>Leather main </li><li>Lace up front with black woven laces</li><li>Blind eyelets</li><li>A round toe</li><li>Quadruple top stitching design </li><li>Leather lining and insole</li><li>Leather sole</li><li>A low stacked block heel</li><li>RRP:&pound;95.00</li></ul>,Casual Shoes,Mens,,Banana Connection,Blacks,configurable,1,Enabled,"Catalog, Search",configurable,"492,437",No,"Save 16 GBP, 17 % off RRP",Clothing 2D,admin,ilovebrands,No layout updates,Block after Info Column,Use config,Dispatched same day before 2.30pm from Central London,http://ilovebrands-ebay.s3.amazonaws.com/HDN7606010_BLK1.jpg,http://ilovebrands-ebay.s3.amazonaws.com/HDN7606010_BLK1.jpg,http://ilovebrands-ebay.s3.amazonaws.com/HDN7606010_BLK1.jpg,size,http://ilovebrands-ebay.s3.amazonaws.com/HDN7606010_BLK1.jpg;http://ilovebrands-ebay.s3.amazonaws.com/HDN7606010_BLK2.jpg;http://ilovebrands-ebay.s3.amazonaws.com/HDN7606010_BLK3.jpg;http://ilovebrands-ebay.s3.amazonaws.com/HDN7606010_BLK4.jpg;;;;;;,,,,,,1,1,,No,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,,Taxable Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDN4608200 CHOC 8,Hudson,8,135,115,12.6,,Hudson  Chocolate Brown Leather Zip Ankle Boots Shoes,Leather,0,<ul><li>Hudson mens chocolate brown leather ankle boots </li><li>Leather main </li><li>Zip fastening to the inner side</li><li>A round toe</li><li>Leather lining and insole</li><li>Leather sole</li><li>A low stacked block heel</li><li>RRP:&pound;135.00</li></ul>,Boots,Mens,,Banana Connection,Browns,simple,0,Enabled,Not Visible Individually,simple,"492,487",No,"Save 20 GBP, 15 % off RRP",Clothing 2D,admin,ilovebrands,No layout updates,Block after Info Column,Use config,Dispatched same day before 2.30pm from Central London,,,,,,,,,,,1,1,,No,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,,Taxable Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDN4608200 CHOC 9,Hudson,9,135,115,12.6,,Hudson  Chocolate Brown Leather Zip Ankle Boots Shoes,Leather,0,<ul><li>Hudson mens chocolate brown leather ankle boots </li><li>Leather main </li><li>Zip fastening to the inner side</li><li>A round toe</li><li>Leather lining and insole</li><li>Leather sole</li><li>A low stacked block heel</li><li>RRP:&pound;135.00</li></ul>,Boots,Mens,,Banana Connection,Browns,simple,0,Enabled,Not Visible Individually,simple,"492,487",No,"Save 20 GBP, 15 % off RRP",Clothing 2D,admin,ilovebrands,No layout updates,Block after Info Column,Use config,Dispatched same day before 2.30pm from Central London,,,,,,,,,,,1,1,,No,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,,Taxable Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
